text,start,end,confidence,line_number,line_position,audible_duration,pregap
these,2576.68,2576.96,0.932,737,0,0.28,2576.68
guys,2576.96,2577.22,1.0,737,1,0.26,0.0
are,2577.22,2577.36,0.809,737,2,0.14,0.0
all,2577.36,2577.45,0.691,737,3,0.09,0.0
that,2577.45,2577.64,1.0,737,4,0.19,0.0
white,2577.64,2577.83,0.187,737,5,0.19,0.0
is,2577.83,2577.93,0.3,737,6,0.1,0.0
still,2577.93,2578.09,0.936,737,7,0.16,0.0
using,2578.09,2578.37,0.404,737,8,0.28,0.0
pagers,2578.37,2578.94,0.395,737,9,0.57,0.0
by,2579.22,2579.35,0.613,737,10,0.13,0.28
nine,2579.35,2579.69,0.525,737,11,0.34,0.0
last,2579.69,2580.02,0.985,737,12,0.33,0.0
few,2580.02,2580.23,1.0,737,13,0.21,0.0
dollars,2580.23,2580.56,1.0,737,14,0.33,0.0
for,2580.56,2580.68,1.0,737,15,0.12,0.0
cell,2580.68,2580.92,0.498,737,16,0.24,0.0
phones,2580.92,2581.36,0.477,737,17,0.44,0.0
it's,2581.92,2582.12,1.0,738,0,0.2,2581.92
a,2582.12,2582.19,1.0,738,1,0.07,0.0
discipline,2582.19,2582.79,0.571,738,2,0.6,0.0
to,2586.25,2586.33,0.163,739,0,0.08,2586.25
care,2586.33,2586.52,0.059,739,1,0.19,0.0
about,2586.52,2586.79,0.074,739,2,0.27,0.0
the,2586.79,2586.87,0.328,739,3,0.08,0.0
page,2586.87,2587.35,0.469,739,4,0.48,0.0
but,2589.04,2589.19,0.445,740,0,0.15,2589.04
you,2589.19,2589.26,0.696,740,1,0.07,0.0
can,2589.26,2589.42,0.279,740,2,0.16,0.0
make,2589.42,2589.56,0.228,740,3,0.14,0.0
a,2589.56,2589.6,0.234,740,4,0.04,0.0
call,2589.6,2589.83,0.43,740,5,0.23,0.0
the,2589.83,2589.98,0.63,740,6,0.15,0.0
paging,2589.98,2590.41,0.038,740,7,0.43,0.0
you,2591.49,2591.63,0.606,741,0,0.14,2591.49
don't,2591.63,2591.79,0.18,741,1,0.16,0.0
want,2591.79,2591.92,0.397,741,2,0.13,0.0
a,2591.92,2591.95,0.614,741,3,0.03,0.0
pen,2591.95,2592.19,0.956,741,4,0.24,0.0
register,2592.19,2592.61,1.0,741,5,0.42,0.0
on,2592.61,2592.76,0.719,741,6,0.15,0.0
all,2592.76,2592.88,1.0,741,7,0.12,0.0
the,2592.88,2592.96,0.94,741,8,0.08,0.0
pay,2592.96,2593.25,0.644,741,9,0.29,0.0
phones,2593.25,2593.81,0.644,741,10,0.56,0.0
in,2593.81,2593.91,0.73,741,11,0.1,0.0
the,2593.91,2593.99,0.966,741,12,0.08,0.0
low,2593.99,2594.18,0.599,741,13,0.19,0.0
rise,2594.18,2594.78,0.135,741,14,0.6,0.0
and,2595.26,2595.48,1.0,742,0,0.22,2595.26
any,2595.48,2595.68,0.887,742,1,0.2,0.0
other,2595.68,2595.87,0.971,742,2,0.19,0.0
phones,2595.87,2596.17,0.349,742,3,0.3,0.0
that,2596.17,2596.29,0.627,742,4,0.12,0.0
link,2596.29,2596.48,0.697,742,5,0.19,0.0
to,2596.48,2596.58,0.757,742,6,0.1,0.0
the,2596.58,2596.66,0.978,742,7,0.08,0.0
pages,2596.66,2597.27,0.993,742,8,0.61,0.0
what,2598.88,2599.02,0.907,743,0,0.14,2598.88
would,2599.02,2599.13,0.778,743,1,0.11,0.0
it,2599.13,2599.2,1.0,743,2,0.07,0.0
take,2599.2,2599.33,1.0,743,3,0.13,0.0
to,2599.33,2599.43,0.951,743,4,0.1,0.0
do,2599.43,2599.52,1.0,743,5,0.09,0.0
the,2599.52,2599.61,1.0,743,6,0.09,0.0
pages,2599.61,2600.08,0.224,743,7,0.47,0.0
wiretap,2600.69,2601.2,0.114,744,0,0.51,2600.69
affidavit,2601.2,2601.81,0.995,744,1,0.61,0.0
I,2602.66,2602.69,0.364,745,0,0.03,2602.66
think,2602.69,2602.83,0.638,745,1,0.14,0.0
we,2602.83,2602.92,0.82,745,2,0.09,0.0
got,2602.92,2603.07,0.82,745,3,0.15,0.0
enough,2603.07,2603.31,0.81,745,4,0.24,0.0
DC,2603.31,2603.7,0.321,745,5,0.39,0.0
from,2603.7,2603.88,1.0,745,6,0.18,0.0
they,2603.88,2603.98,0.281,745,7,0.1,0.0
had,2603.98,2604.18,0.487,745,8,0.2,0.0
their,2604.18,2604.29,0.085,745,9,0.11,0.0
hands,2604.29,2604.54,0.424,745,10,0.25,0.0
and,2604.54,2604.65,0.638,745,11,0.11,0.0
surveillance,2604.65,2605.33,1.0,745,12,0.68,0.0
we,2605.4,2605.52,0.41,745,13,0.12,0.07
almost,2605.52,2605.93,0.222,745,14,0.41,0.0
exhaustion,2605.93,2606.54,0.961,745,15,0.61,0.0
exhaust,2606.92,2607.4,0.551,745,16,0.48,0.38
useless,2607.4,2607.85,0.422,745,17,0.45,0.0
division,2607.94,2608.39,0.182,745,18,0.45,0.09
good,2608.77,2609.21,0.99,746,0,0.44,2608.77
exhaustion,2610.37,2610.83,1.0,747,0,0.46,2610.37
is,2610.83,2610.91,0.809,747,1,0.08,0.0
a,2610.91,2610.96,0.789,747,2,0.05,0.0
legal,2610.96,2611.24,0.984,747,3,0.28,0.0
requirement,2611.24,2611.91,1.0,747,4,0.67,0.0
for,2611.91,2612.03,0.566,747,5,0.12,0.0
using,2612.03,2612.45,1.0,747,6,0.42,0.0
electronic,2612.45,2613.03,1.0,747,7,0.58,0.0
intercepts,2613.03,2613.59,0.978,747,8,0.56,0.0
we,2614.51,2614.62,0.639,748,0,0.11,2614.51
gotta,2614.62,2614.78,0.26,748,1,0.16,0.0
prove,2614.78,2615.14,0.56,748,2,0.36,0.0
nothing,2615.14,2615.59,0.967,748,3,0.45,0.0
else,2615.59,2615.8,0.977,748,4,0.21,0.0
works,2615.8,2616.32,0.957,748,5,0.52,0.0
see,2616.44,2616.63,0.893,748,6,0.19,0.12
we,2616.63,2616.74,1.0,748,7,0.11,0.0
did,2616.74,2616.92,1.0,748,8,0.18,0.0
the,2616.92,2617.0,0.836,748,9,0.08,0.0
rates,2617.0,2617.57,0.694,748,10,0.57,0.0
we,2617.8,2617.93,0.467,748,11,0.13,0.23
made,2617.93,2618.13,0.942,748,12,0.2,0.0
the,2618.13,2618.2,1.0,748,13,0.07,0.0
arrest,2618.2,2618.59,0.531,748,14,0.39,0.0
but,2618.59,2618.69,0.55,748,15,0.1,0.0
nobody,2618.69,2618.96,1.0,748,16,0.27,0.0
flipped,2618.96,2619.4,0.48,748,17,0.44,0.0
we,2619.52,2619.63,1.0,748,18,0.11,0.12
don't,2619.63,2619.8,1.0,748,19,0.17,0.0
have,2619.8,2619.92,1.0,748,20,0.12,0.0
an,2619.92,2619.98,0.921,748,21,0.06,0.0
informant,2619.98,2620.44,1.0,748,22,0.46,0.0
who,2620.44,2620.5,0.379,748,23,0.06,0.0
takes,2620.5,2620.84,0.76,748,24,0.34,0.0
anywhere,2620.84,2621.14,0.889,748,25,0.3,0.0
but,2621.14,2621.33,0.442,748,26,0.19,0.0
the,2621.33,2621.43,0.953,748,27,0.1,0.0
street,2621.43,2621.81,0.693,748,28,0.38,0.0
it's,2622.52,2622.59,0.669,749,0,0.07,2622.52
pretty,2622.59,2622.77,0.946,749,1,0.18,0.0
much,2622.77,2622.98,1.0,749,2,0.21,0.0
exhaustion,2622.98,2623.57,0.757,749,3,0.59,0.0
all,2623.75,2623.99,0.93,749,4,0.24,0.18
we,2623.99,2624.11,0.781,749,5,0.12,0.0
got,2624.11,2624.31,0.968,749,6,0.2,0.0
left,2624.31,2624.55,0.833,749,7,0.24,0.0
to,2624.55,2624.62,0.753,749,8,0.07,0.0
do,2624.62,2624.79,0.961,749,9,0.17,0.0
now,2624.79,2625.0,0.986,749,10,0.21,0.0
is,2625.0,2625.08,0.423,749,11,0.08,0.0
to,2625.08,2625.15,0.549,749,12,0.07,0.0
follow,2625.15,2625.47,0.518,749,13,0.32,0.0
one,2625.47,2625.62,0.88,749,14,0.15,0.0
of,2625.62,2625.71,1.0,749,15,0.09,0.0
these,2625.71,2625.92,1.0,749,16,0.21,0.0
mops,2625.92,2626.2,0.121,749,17,0.28,0.0
and,2626.2,2626.34,0.885,749,18,0.14,0.0
prove,2626.34,2626.63,0.427,749,19,0.29,0.0
ourselves,2626.63,2627.0,0.338,749,20,0.37,0.0
we,2627.0,2627.16,0.999,749,21,0.16,0.0
can't,2627.16,2627.52,0.869,749,22,0.36,0.0
see,2627.93,2628.13,0.766,750,0,0.2,2627.93
we,2628.13,2628.22,0.534,750,1,0.09,0.0
try,2628.22,2628.41,0.957,750,2,0.19,0.0
to,2628.41,2628.49,0.898,750,3,0.08,0.0
show,2628.49,2628.72,0.514,750,4,0.23,0.0
judge,2628.72,2629.24,0.944,750,5,0.52,0.0
we,2629.45,2629.61,1.0,750,6,0.16,0.21
can't,2629.61,2629.86,0.647,750,7,0.25,0.0
make,2629.86,2630.03,1.0,750,8,0.17,0.0
the,2630.03,2630.11,1.0,750,9,0.08,0.0
case,2630.11,2630.38,1.0,750,10,0.27,0.0
by,2630.38,2630.55,1.0,750,11,0.17,0.0
following,2630.55,2630.99,0.835,750,12,0.44,0.0
these,2630.99,2631.18,1.0,750,13,0.19,0.0
guys,2631.18,2631.5,1.0,750,14,0.32,0.0
and,2631.5,2631.6,1.0,750,15,0.1,0.0
we,2631.6,2631.69,1.0,750,16,0.09,0.0
can't,2631.69,2632.06,0.638,750,17,0.37,0.0
how,2632.52,2632.66,0.822,750,18,0.14,0.46
can,2632.66,2632.8,0.253,750,19,0.14,0.0
we,2632.8,2632.88,0.832,750,20,0.08,0.0
keep,2632.88,2633.14,1.0,750,21,0.26,0.0
on,2633.14,2633.32,1.0,750,22,0.18,0.0
any,2633.32,2633.48,1.0,750,23,0.16,0.0
of,2633.48,2633.55,1.0,750,24,0.07,0.0
them,2633.55,2633.67,0.819,750,25,0.12,0.0
when,2633.67,2633.77,1.0,750,26,0.1,0.0
they,2633.77,2633.86,1.0,750,27,0.09,0.0
go,2633.86,2634.02,0.62,750,28,0.16,0.0
up,2634.02,2634.14,0.695,750,29,0.12,0.0
in,2634.14,2634.2,0.901,750,30,0.06,0.0
those,2634.2,2634.38,1.0,750,31,0.18,0.0
towers,2634.38,2634.89,1.0,750,32,0.51,0.0
but,2635.19,2635.34,0.392,750,33,0.15,0.3
you,2635.34,2635.42,0.741,750,34,0.08,0.0
gotta,2635.42,2635.63,0.197,750,35,0.21,0.0
show,2635.63,2635.83,0.9,750,36,0.2,0.0
you,2635.83,2635.97,0.833,750,37,0.14,0.0
try,2635.97,2636.15,0.127,750,38,0.18,0.0
you,2641.28,2641.39,0.403,751,0,0.11,2641.28
have,2641.39,2641.56,0.908,751,1,0.17,0.0
a,2641.56,2641.6,0.643,751,2,0.04,0.0
page,2641.6,2641.88,0.582,751,3,0.28,0.0
number,2641.88,2642.12,0.85,751,4,0.24,0.0
this,2651.79,2651.98,1.0,752,0,0.19,2651.79
is,2651.98,2652.11,0.985,752,1,0.13,0.0
written,2652.11,2652.44,0.304,752,2,0.33,0.0
on,2652.44,2652.58,0.225,752,3,0.14,0.0
the,2652.58,2652.65,1.0,752,4,0.07,0.0
stash,2652.65,2653.03,0.664,752,5,0.38,0.0
house,2653.03,2653.33,0.686,752,6,0.3,0.0
warm,2653.33,2653.8,0.223,752,7,0.47,0.0
the,2654.66,2654.76,0.697,753,0,0.1,2654.66
letter,2654.76,2654.98,0.389,753,1,0.22,0.0
D.,2654.98,2655.27,0.593,753,2,0.29,0.0
next,2655.27,2655.59,0.946,753,3,0.32,0.0
to,2655.59,2655.69,0.988,753,4,0.1,0.0
it,2655.69,2655.82,0.506,753,5,0.13,0.0
that,2657.71,2657.92,0.407,754,0,0.21,2657.71
the,2657.92,2658.02,0.921,754,1,0.1,0.0
Angela,2658.02,2658.44,0.396,754,2,0.42,0.0
you,2659.56,2659.63,0.211,755,0,0.07,2659.56
check,2659.63,2659.98,0.858,755,1,0.35,0.0
it's,2661.0,2661.16,0.801,756,0,0.16,2661.0
a,2661.16,2661.26,0.328,756,1,0.1,0.0
let's,2676.81,2676.91,0.293,757,0,0.1,2676.81
do,2676.91,2677.05,0.909,757,1,0.14,0.0
this,2677.05,2677.36,0.99,757,2,0.31,0.0
one,2684.29,2684.5,0.739,761,0,0.21,2684.29
well,2687.15,2687.26,0.55,762,0,0.11,2687.15
appointed,2687.26,2687.9700000000003,0.035,762,1,0.71,0.0
by,2687.9700000000003,2688.12,0.937,762,2,0.15,0.0
the,2688.12,2688.24,0.753,762,3,0.12,0.0
press,2688.24,2688.7,0.168,762,4,0.46,0.0
we,2703.56,2703.66,0.686,766,0,0.1,2703.56
explain,2703.66,2704.11,0.332,766,1,0.45,0.0
to,2704.11,2704.21,0.8,766,2,0.1,0.0
me,2704.21,2704.32,1.0,766,3,0.11,0.0
again,2704.32,2704.66,1.0,766,4,0.34,0.0
why,2704.66,2704.79,0.769,766,5,0.13,0.0
I'm,2704.79,2704.88,0.337,766,6,0.09,0.0
about,2704.88,2705.08,0.341,766,7,0.2,0.0
to,2705.08,2705.15,0.52,766,8,0.07,0.0
rework,2705.15,2705.59,0.567,766,9,0.44,0.0
a,2705.59,2705.64,0.457,766,10,0.05,0.0
six,2705.64,2705.88,0.903,766,11,0.24,0.0
month,2705.88,2706.1,0.775,766,12,0.22,0.0
old,2706.1,2706.26,0.899,766,13,0.16,0.0
crime,2706.26,2706.59,0.625,766,14,0.33,0.0
scene,2706.59,2706.87,0.863,766,15,0.28,0.0
look,2707.26,2707.49,0.524,766,16,0.23,0.39
as,2707.49,2707.69,0.081,766,17,0.2,0.0
narrow,2707.69,2708.03,0.757,766,18,0.34,0.0
as,2708.03,2708.25,0.446,766,19,0.22,0.0
fly,2708.25,2708.65,0.691,766,20,0.4,0.0
clearly,2708.95,2709.23,0.492,766,21,0.28,0.3
didn't,2709.23,2709.44,0.951,766,22,0.21,0.0
do,2709.44,2709.5,0.223,766,23,0.06,0.0
shit,2709.5,2709.76,0.331,766,24,0.26,0.0
on,2709.76,2709.89,0.984,766,25,0.13,0.0
this,2709.89,2710.2,0.978,766,26,0.31,0.0
did,2710.3,2710.54,0.768,766,27,0.24,0.1
the,2710.54,2710.64,0.733,766,28,0.1,0.0
scene,2710.64,2710.95,0.909,766,29,0.31,0.0
though,2710.95,2711.16,0.51,766,30,0.21,0.0
scaling,2711.34,2711.77,0.081,766,31,0.43,0.18
we,2711.77,2711.86,0.826,766,32,0.09,0.0
talk,2711.86,2712.09,0.306,766,33,0.23,0.0
about,2712.09,2712.38,0.53,766,34,0.29,0.0
and,2713.06,2713.24,0.181,767,0,0.18,2713.06
Jane,2713.24,2713.59,0.479,767,1,0.35,0.0
is,2713.59,2713.72,0.558,767,2,0.13,0.0
leaps,2713.72,2713.97,1.0,767,3,0.25,0.0
of,2713.97,2714.08,1.0,767,4,0.11,0.0
logic,2714.08,2714.51,0.988,767,5,0.43,0.0
the,2715.08,2715.14,0.485,768,0,0.06,2715.08
case,2715.14,2715.41,0.679,768,1,0.27,0.0
is,2715.41,2715.52,0.679,768,2,0.11,0.0
nowhere,2715.52,2715.79,0.546,768,3,0.27,0.0
near,2715.79,2715.99,1.0,768,4,0.2,0.0
anything,2715.99,2716.38,1.0,768,5,0.39,0.0
would,2716.38,2716.56,0.74,768,6,0.18,0.0
do,2716.56,2716.77,1.0,768,7,0.21,0.0
it,2716.77,2716.91,0.776,768,8,0.14,0.0
so,2717.08,2717.51,0.965,768,9,0.43,0.17
given,2718.15,2718.38,0.543,769,0,0.23,2718.15
to,2718.38,2718.44,0.25,769,1,0.06,0.0
Sega's,2718.44,2718.73,0.567,769,2,0.29,0.0
who,2718.73,2718.82,0.482,769,3,0.09,0.0
anyhow,2718.82,2719.16,0.527,769,4,0.34,0.0
make,2719.16,2719.35,0.607,769,5,0.19,0.0
us,2719.35,2719.47,0.118,769,6,0.12,0.0
unhappy,2719.47,2720.02,0.184,769,7,0.55,0.0
did,2722.28,2722.41,0.181,770,0,0.13,2722.28
you,2722.41,2722.52,0.842,770,1,0.11,0.0
know,2722.52,2722.83,0.877,770,2,0.31,0.0
Lester,2723.02,2723.36,0.921,770,3,0.34,0.19
Freamon,2723.36,2723.72,0.72,770,4,0.36,0.0
and,2724.25,2724.55,0.276,770,5,0.3,0.53
a,2725.33,2725.41,0.939,771,0,0.08,2725.33
little,2725.41,2725.63,1.0,771,1,0.22,0.0
way,2725.63,2725.89,0.368,771,2,0.26,0.0
she's,2726.57,2726.74,0.253,772,0,0.17,2726.57
with,2726.74,2726.93,1.0,772,1,0.19,0.0
us,2726.93,2727.08,1.0,772,2,0.15,0.0
on,2727.08,2727.19,1.0,772,3,0.11,0.0
this,2727.19,2727.32,1.0,772,4,0.13,0.0
Barksdale,2727.32,2727.88,0.266,772,5,0.56,0.0
thing,2727.88,2728.16,0.577,772,6,0.28,0.0
I,2728.95,2729.03,0.384,773,0,0.08,2728.95
thought,2729.03,2729.18,0.193,773,1,0.15,0.0
you,2729.18,2729.26,0.894,773,2,0.08,0.0
said,2729.26,2729.44,0.69,773,3,0.18,0.0
they,2729.44,2729.52,0.709,773,4,0.08,0.0
gave,2729.52,2729.71,0.588,773,5,0.19,0.0
you,2729.71,2729.81,0.993,773,6,0.1,0.0
humps,2729.81,2730.22,0.435,773,7,0.41,0.0
me,2730.28,2730.4,0.426,773,8,0.12,0.06
looks,2730.4,2730.63,0.756,773,9,0.23,0.0
like,2730.63,2730.78,0.989,773,10,0.15,0.0
a,2730.78,2730.85,0.687,773,11,0.07,0.0
home,2730.85,2731.08,0.691,773,12,0.23,0.0
the,2731.45,2731.54,0.542,773,13,0.09,0.37
acts,2731.54,2731.78,0.525,773,14,0.24,0.0
like,2731.78,2731.97,0.99,773,15,0.19,0.0
a,2731.97,2732.04,0.588,773,16,0.07,0.0
home,2732.04,2732.26,0.875,773,17,0.22,0.0
sitting,2732.52,2732.89,0.52,773,18,0.37,0.26
there,2732.89,2733.2,1.0,773,19,0.31,0.0
playing,2733.33,2733.57,1.0,773,20,0.24,0.13
with,2733.57,2733.67,1.0,773,21,0.1,0.0
his,2733.67,2733.79,0.755,773,22,0.12,0.0
toys,2733.79,2734.11,0.576,773,23,0.32,0.0
furniture,2734.11,2734.58,0.969,773,24,0.47,0.0
Jimmy,2735.62,2735.97,0.509,774,0,0.35,2735.62
he,2736.24,2736.32,0.419,774,1,0.08,0.27
makes,2736.32,2736.57,0.772,774,2,0.25,0.0
more,2736.57,2736.75,0.988,774,3,0.18,0.0
money,2736.75,2736.96,1.0,774,4,0.21,0.0
off,2736.96,2737.11,0.396,774,5,0.15,0.0
of,2737.11,2737.18,0.437,774,6,0.07,0.0
the,2737.18,2737.26,0.436,774,7,0.08,0.0
ship,2737.26,2737.58,0.461,774,8,0.32,0.0
and,2737.58,2737.68,0.27,774,9,0.1,0.0
you,2737.68,2737.76,1.0,774,10,0.08,0.0
do,2737.76,2737.94,0.914,774,11,0.18,0.0
over,2737.94,2738.13,0.049,774,12,0.19,0.0
this,2738.13,2738.32,0.498,774,13,0.19,0.0
job,2738.32,2738.69,0.943,774,14,0.37,0.0
Philip,2739.18,2739.59,0.244,775,0,0.41,2739.18
les,2739.59,2739.8,0.26,775,1,0.21,0.0
to,2739.8,2739.91,0.23,775,2,0.11,0.0
fool,2739.91,2740.12,0.101,775,3,0.21,0.0
you,2740.12,2740.27,0.318,775,4,0.15,0.0
he,2740.51,2740.59,0.342,775,5,0.08,0.24
did,2740.59,2740.79,1.0,775,6,0.2,0.0
already,2740.79,2741.28,0.95,775,7,0.49,0.0
today,2741.64,2741.9,0.349,775,8,0.26,0.36
and,2741.9,2742.02,0.28,775,9,0.12,0.0
roll,2742.02,2742.22,0.932,775,10,0.2,0.0
call,2742.22,2742.48,0.634,775,11,0.26,0.0
he,2742.48,2742.57,0.28,775,12,0.09,0.0
showed,2742.57,2742.88,1.0,775,13,0.31,0.0
something,2742.88,2743.22,0.819,775,14,0.34,0.0
fake,2743.49,2743.77,0.334,775,15,0.28,0.27
it's,2744.74,2744.84,0.409,776,0,0.1,2744.74
national,2744.84,2745.15,0.447,776,1,0.31,0.0
police,2745.15,2745.75,0.978,776,2,0.6,0.0
use,2746.15,2746.37,0.626,777,0,0.22,2746.15
to,2746.37,2746.44,0.214,777,1,0.07,0.0
be,2746.44,2746.54,0.412,777,2,0.1,0.0
homicide,2746.54,2747.26,0.366,777,3,0.72,0.0
what,2748.06,2748.24,0.583,778,0,0.18,2748.06
really,2748.24,2748.63,0.099,778,1,0.39,0.0
asking,2749.25,2749.71,0.136,779,0,0.46,2749.25
is,2753.48,2753.63,0.518,780,0,0.15,2753.48
that,2753.63,2753.76,0.104,780,1,0.13,0.0
why,2753.76,2753.92,0.25,780,2,0.16,0.0
not,2753.92,2754.16,0.25,780,3,0.24,0.0
yep,2754.46,2754.72,0.142,780,4,0.26,0.3
hasn't,2755.07,2755.39,0.986,780,5,0.32,0.35
been,2755.39,2755.5,0.824,780,6,0.11,0.0
reticence,2755.5,2756.27,0.158,780,7,0.77,0.0
****,2774.53,2775.52,0.385,783,0,0.99,2774.53
for,2790.2,2790.63,0.583,788,0,0.43,2790.2
mt,2797.39,2798.65,0.309,789,0,1.26,2797.39
but,2799.99,2800.1,0.726,790,0,0.11,2799.99
I,2800.1,2800.2,0.406,790,1,0.1,0.0
and,2802.23,2802.32,0.79,791,0,0.09,2802.23
nbsp,2802.32,2803.81,1.0,791,1,1.49,0.0
the,2807.23,2807.34,0.364,793,0,0.11,2807.23
frog,2807.34,2807.87,0.375,793,1,0.53,0.0
nnj,2808.47,2809.2,0.411,793,2,0.73,0.6
and,2820.95,2821.04,1.0,797,0,0.09,2820.95
nbsp,2821.04,2822.53,1.0,797,1,1.49,0.0
but,2825.54,2825.89,0.134,799,0,0.35,2825.54
jn,2838.23,2839.16,0.997,803,0,0.93,2838.23
sn,2848.36,2849.12,0.997,805,0,0.76,2848.36
and,2855.64,2855.73,0.396,806,0,0.09,2855.64
nbsp,2855.73,2858.03,0.809,806,1,2.3,0.0
and,2858.39,2858.48,0.808,807,0,0.09,2858.39
nbsp,2858.48,2860.05,1.0,807,1,1.57,0.0
and,2869.75,2869.86,0.773,809,0,0.11,2869.75
nbsp,2869.86,2872.71,1.0,809,1,2.85,0.0
well,2879.01,2879.23,0.331,811,0,0.22,2879.01
the,2879.23,2879.45,0.052,811,1,0.22,0.0
first,2879.45,2879.96,0.276,811,2,0.51,0.0
all,2886.91,2887.09,0.282,812,0,0.18,2886.91
of,2887.09,2887.33,0.467,812,1,0.24,0.0
well,2888.49,2888.81,0.472,813,0,0.32,2888.49
****,2888.81,2889.15,0.312,813,1,0.34,0.0
ok,2903.94,2904.31,0.146,814,0,0.37,2903.94
look,2904.98,2905.24,0.269,815,0,0.26,2904.98
okay,2912.07,2912.31,0.328,816,0,0.24,2912.07
mn,2912.31,2913.77,0.654,816,1,1.46,0.0
love,2925.24,2925.52,0.411,818,0,0.28,2925.24
the,2925.52,2925.72,0.946,818,1,0.2,0.0
funky,2925.72,2926.34,0.036,818,2,0.62,0.0
****,2930.44,2930.88,0.504,819,0,0.44,2930.44
in,2930.88,2931.03,0.365,819,1,0.15,0.0
a,2931.03,2931.38,0.799,819,2,0.35,0.0
nd,2931.74,2932.93,0.182,819,3,1.19,0.36
fn,2945.67,2947.77,0.509,823,0,2.1,2945.67
mother,2963.88,2964.2200000000003,0.564,828,0,0.34,2963.88
****,2964.2200000000003,2964.74,0.561,828,1,0.52,0.0
for,2968.46,2968.69,1.0,829,0,0.23,2968.46
me,2968.9,2969.21,0.99,829,1,0.31,0.21
sin,3042.4,3042.64,0.28,847,0,0.24,3042.4
is,3042.64,3042.8,0.463,847,1,0.16,0.0
on,3042.8,3042.95,0.629,847,2,0.15,0.0
foot,3042.95,3043.3,0.744,847,3,0.35,0.0
because,3043.76,3044.15,0.784,847,4,0.39,0.46
in,3044.15,3044.25,0.75,847,5,0.1,0.0
the,3044.25,3044.33,0.979,847,6,0.08,0.0
car,3044.33,3044.74,0.99,847,7,0.41,0.0
hurt,3045.52,3045.81,0.386,848,0,0.29,3045.52
you,3046.03,3046.21,1.0,848,1,0.18,0.22
need,3046.21,3046.34,1.0,848,2,0.13,0.0
to,3046.34,3046.4,1.0,848,3,0.06,0.0
be,3046.4,3046.59,0.992,848,4,0.19,0.0
on,3046.59,3046.72,0.847,848,5,0.13,0.0
top,3046.72,3047.02,1.0,848,6,0.3,0.0
of,3047.02,3047.1,1.0,848,7,0.08,0.0
the,3047.1,3047.19,1.0,848,8,0.09,0.0
roof,3047.19,3047.72,1.0,848,9,0.53,0.0
behind,3047.77,3048.14,0.663,848,10,0.37,0.05
and,3048.14,3048.35,0.972,848,11,0.21,0.0
winning,3048.35,3048.6,0.118,848,12,0.25,0.0
going,3049.95,3050.13,0.379,849,0,0.18,3049.95
to,3050.13,3050.19,0.588,849,1,0.06,0.0
get,3050.19,3050.35,1.0,849,2,0.16,0.0
the,3050.35,3050.43,0.672,849,3,0.08,0.0
should,3050.43,3050.66,0.527,849,4,0.23,0.0
detail,3050.66,3051.11,0.899,849,5,0.45,0.0
the,3051.81,3051.87,0.453,850,0,0.06,3051.81
plan,3051.87,3052.21,0.944,850,1,0.34,0.0
is,3052.21,3052.33,0.485,850,2,0.12,0.0
to,3052.33,3052.42,0.901,850,3,0.09,0.0
stay,3052.42,3052.64,0.673,850,4,0.22,0.0
on,3052.64,3052.75,0.441,850,5,0.11,0.0
the,3052.75,3052.92,0.548,850,6,0.17,0.0
a,3053.95,3054.01,0.128,851,0,0.06,3053.95
little,3054.01,3054.42,0.195,851,1,0.41,0.0
closer,3054.55,3055.03,0.102,851,2,0.48,0.13
don't,3055.95,3056.14,0.511,851,3,0.19,0.92
lose,3056.14,3056.77,0.285,851,4,0.63,0.0
you,3057.24,3057.45,1.0,851,5,0.21,0.47
can't,3057.45,3057.69,0.729,851,6,0.24,0.0
follow,3057.69,3057.91,0.333,851,7,0.22,0.0
people,3057.91,3058.31,0.896,851,8,0.4,0.0
in,3058.31,3058.4,0.548,851,9,0.09,0.0
towns,3058.4,3058.99,0.979,851,10,0.59,0.0
you,3059.05,3059.12,0.352,851,11,0.07,0.06
can,3059.12,3059.34,0.171,851,12,0.22,0.0
obtain,3059.34,3059.75,0.064,851,13,0.41,0.0
a,3059.75,3059.8,0.612,851,14,0.05,0.0
low,3059.8,3059.99,0.795,851,15,0.19,0.0
rise,3059.99,3060.3,0.888,851,16,0.31,0.0
in,3060.3,3060.4,0.847,851,17,0.1,0.0
this,3060.4,3060.57,0.363,851,18,0.17,0.0
you,3060.57,3060.72,0.337,851,19,0.15,0.0
had,3060.72,3060.83,0.481,851,20,0.11,0.0
a,3060.83,3060.86,0.865,851,21,0.03,0.0
reason,3060.86,3061.21,0.955,851,22,0.35,0.0
I,3061.53,3061.7,0.195,851,23,0.17,0.32
just,3061.7,3061.94,0.878,851,24,0.24,0.0
to,3061.94,3062.0,0.874,851,25,0.06,0.0
make,3062.0,3062.18,1.0,851,26,0.18,0.0
sure,3062.18,3062.54,1.0,851,27,0.36,0.0
we,3062.77,3062.91,0.864,851,28,0.14,0.23
want,3062.91,3063.1,0.438,851,29,0.19,0.0
to,3063.1,3063.16,0.363,851,30,0.06,0.0
lose,3063.16,3063.43,0.544,851,31,0.27,0.0
him,3063.43,3063.55,0.212,851,32,0.12,0.0
right,3063.55,3063.85,0.98,851,33,0.3,0.0
losing,3064.42,3064.71,0.557,852,0,0.29,3064.42
him,3064.71,3064.83,0.627,852,1,0.12,0.0
is,3064.83,3064.93,0.527,852,2,0.1,0.0
